abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
donation n.  1 donating or being donated. 2 thing, esp. Money, donated. [latin donum gift]
done adj.  1 completed. 2 cooked. 3 colloq. Socially acceptable (the done thing). 4 (often with in) colloq. Tired out. 5 (esp. As int. In reply to an offer etc.) Accepted.  be done with have or be finished with. Done for colloq. In serious trouble. Have done with be rid of; finish dealing with. [past part. Of *do1]
donna n.  Title of an italian, spanish, or portuguese lady. [latin domina mistress]
donor n.  1 person who donates (e.g. To charity). 2 person who provides blood, semen, or an organ or tissue for medical use.
door n.  1 a esp. Hinged barrier for closing and opening the entrance to a building, room, cupboard, etc. B this as representing a house etc. (lives two doors away). 2 a entrance or exit; doorway. B means of access.  close (or open) the door to exclude (or create) an opportunity for. [old english]
dosage n.  1 size of a dose. 2 giving of a dose.
dozen n.  1 (prec. By a or a number) (pl. Dozen) twelve (a dozen eggs; two dozen eggs). 2 set of twelve (sold in dozens). 3 (in pl.; usu. Foll. By of) colloq. Very many (dozens of errors).  talk nineteen to the dozen talk incessantly. [latin duodecim twelve]
dragon n.  1 mythical usu. Winged monster like a reptile, able to breathe fire. 2 fierce woman. [greek, = serpent]
drainage n.  1 draining. 2 system of drains. 3 what is drained off.
drama n.  1 play for stage or broadcasting. 2 art of writing, acting, or presenting plays. 3 dramatic event or quality (the drama of the situation). [latin from greek drao do]
dramatic adj.  1 of drama. 2 sudden and exciting or unexpected. 3 vividly striking. 4 (of a gesture etc.) Theatrical.  dramatically adv. [greek: related to *drama]
drawing n.  1 art of representing by line with a pencil etc. 2 picture etc. Made thus.
drawn adj.  Looking strained and tense.
dressing n.  1 putting one's clothes on. 2 a sauce, esp. Of oil and vinegar etc., for salads (french dressing). B sauce or stuffing etc. For food. 3 bandage, ointment, etc., for a wound. 4 size or stiffening used to coat fabrics. 5 compost etc. Spread over land.
driver n.  1 person who drives a vehicle. 2 golf-club for driving from a tee.
dude n.  Slang 1 fellow. 2 us dandy. 3 us city-dweller staying on a ranch. [german dial. Dude fool]
duke n.  1 person holding the highest hereditary title of the nobility. 2 sovereign prince ruling a duchy or small state.  dukedom n. [latin dux leader]
dumb adj.  1 a unable to speak. B (of an animal) naturally dumb. 2 silenced by surprise, shyness, etc. 3 taciturn, reticent (dumb insolence). 4 suffered or done in silence (dumb agony). 5 colloq. Stupid; ignorant. 6 disenfranchised; inarticulate (dumb masses). 7 (of a computer terminal etc.) Able to transmit or receive but unable to process data. 8 giving no sound. [old english]
duo n.  (pl. -s) 1 pair of performers. 2 duet. [italian from latin, = two]
duration n.  1 time taken by an event. 2 specified length of time (duration of a minute).  for the duration 1 until the end of an event. 2 for a very long time. [medieval latin: related to *durable]
dutch n.  Slang wife. [abbreviation of *duchess]
duty n.  (pl. -ies) 1 a moral or legal obligation; responsibility. B binding force of what is right. 2 tax on certain goods, imports, etc. 3 job or function arising from a business or office (playground duty). 4 deference; respect due to a superior.  do duty for serve as or pass for (something else). On (or off) duty working (or not working). [anglo-french: related to *due]
dynamic adj.  1 energetic; active. 2 physics a of motive force. B of force in actual operation. 3 of dynamics.  dynamically adv. [greek dunamis power]
eagle n.  1 a large bird of prey with keen vision and powerful flight. B this as a symbol, esp. Of the us. 2 score of two strokes under par at any hole in golf. [latin aquila]
earl n.  British nobleman ranking between marquis and viscount.  earldom n. [old english]
earn v.  1 bring in as income or interest. 2 be entitled to or obtain as the reward for work or merit.  earner n. [old english]
easter n.  Festival (held on a variable sunday in march or april) commemorating christ's resurrection. [old english]
eastern adj.  Of or in the east.  easternmost adj.
ecology n.  1 the study of the relations of organisms to one another and to their surroundings. 2 the study of the interaction of people with their environment.  ecological adj. Ecologically adv. Ecologist n. [greek oikos house]
economic adj.  1 of economics. 2 profitable (not economic to run buses on a sunday). 3 connected with trade and industry (economic geography).  economically adv. [greek: related to *economy]
economy n.  (pl. -ies) 1 a community's system of wealth creation. B particular kind of this (a capitalist economy). C administration or condition of this. 2 a careful management of (esp. Financial) resources; frugality. B instance of this (made many economies). 3 sparing or careful use (economy of language). [greek oikonomia household management]
eden n.  Place or state of great happiness, with reference to the abode of adam and eve at the creation. [hebrew, originally = delight]
edit v.  (-t-) 1 assemble, prepare, or modify (written material for publication). 2 be editor of (a newspaper etc.). 3 take extracts from and collate (a film etc.) To form a unified sequence. 4 a prepare (data) for processing by a computer. B alter (a text entered in a word processor etc.). 5 a reword in order to correct, or to alter the emphasis. B (foll. By out) remove (a part) from a text etc. [latin edo edit- give out]
edition n.  1 edited or published form of a book etc. 2 copies of a book, newspaper, etc. Issued at one time. 3 instance of a regular broadcast. 4 person or thing similar to another (a miniature edition of her mother).
editor n.  1 person who edits. 2 person who directs the preparation of a newspaper or broadcast news programme or a particular section of one (sports editor). 3 person who selects or commissions material for publication. 4 computer program for entering and modifying textual data.  editorship n.
educated adj.  1 having had an (esp. Good) education. 2 resulting from this (educated accent). 3 based on experience or study (educated guess).
education n.  1 systematic instruction. 2 particular kind of or stage in education (a classical education; further education). 3 development of character or mental powers.  educational adj. Educationally adv.
effective adj.  1 producing the intended result. 2 impressive, striking. 3 actual, existing. 4 operative.  effectively adv. Effectiveness n.
efficient adj.  1 productive with minimum waste or effort. 2 (of a person) capable; acting effectively.  efficiency n. Efficiently adv. [latin facio make]
effort n.  1 use of physical or mental energy. 2 determined attempt. 3 force exerted. 4 colloq. Something accomplished. [latin fortis strong]
eight adj.  & n. 1 one more than seven. 2 symbol for this (8, viii, viii). 3 size etc. Denoted by eight. 4 eight-oared rowing-boat or its crew. 5 eight o'clock. [old english]
elderly adj.  Rather old; past middle age.
election n.  1 electing or being elected. 2 occasion of this.
electron n.  Stable elementary particle with a charge of negative electricity, found in all atoms and acting as the primary carrier of electricity in solids.
elegant adj.  1 tasteful, refined, graceful. 2 ingeniously simple.  elegance n. Elegantly adv. [latin: related to *elect]
element n.  1 component part; contributing factor. 2 any of the substances that cannot be resolved by chemical means into simpler substances. 3 a any of the four substances (earth, water, air, and fire) in ancient and medieval philosophy. B a being's natural abode or environment. 4 electr. Wire that heats up in an electric heater, kettle, etc. 5 (in pl.) Atmospheric agencies, esp. Wind and storm. 6 (in pl.) Rudiments of learning or of an art etc. 7 (in pl.) Bread and wine of the eucharist.  in one's element in one's preferred situation, doing what one does well and enjoys. [french from latin]
elephant n.  (pl. Same or -s) largest living land animal, with a trunk and ivory tusks. [greek elephas]
elevation n.  1 a elevating or being elevated. B angle with the horizontal. C height above sea level etc. D high position. 2 drawing or diagram showing one side of a building.
eleven adj.  & n. 1 one more than ten. 2 symbol for this (11, xi, xi). 3 size etc. Denoted by eleven. 4 team of eleven players at cricket, football, etc. 5 eleven o'clock. [old english]
eligible adj.  1 (often foll. By for) fit or entitled to be chosen (eligible for a rebate). 2 desirable or suitable, esp. For marriage.  eligibility n. [latin: related to *elect]
eliminate v.  (-ting) 1 remove, get rid of. 2 exclude from consideration. 3 exclude from a further stage of a competition through defeat etc.  elimination n. Eliminator n. [latin limen limin- threshold] (-ting) 1 remove, get rid of. 2 exclude from consideration. 3 exclude from a further stage of a competition through defeat etc.  elimination n. Eliminator n. [latin limen limin- threshold]
email n.  (also e-mail) = *electronic mail.
embassy n.  (pl. -ies) 1 a residence or offices of an ambassador. B ambassador and staff. 2 deputation to a foreign government. [french: related to *ambassador]
emergency n.  (pl. -ies) 1 sudden state of danger etc., requiring immediate action. 2 a condition requiring immediate treatment. B patient with this. 3 (attrib.) For use in an emergency. [medieval latin: related to *emerge]
